chord_symbol,voice_index,note_name,midi
Dmaj13,2,A3,57
Dmaj13,3,C#4,61
Dmaj13,4,E4,64
Dmaj13,5,G4,67
Dmaj13,6,B4,71
Dmaj13#11,0,D3,50
Dmaj13#11,1,F#3,54
Dmaj13#11,2,A3,57
Dmaj13#11,3,C#3,49
Dmaj13#11,4,E4,64
Dmaj13#11,5,G#4,68
Dmaj13#11,6,B4,71
Dmaj7,0,D3,50
Dmaj7,1,F#3,54
Dmaj7,2,A3,57
Dmaj7,3,C#4,61
Dmaj7#11,0,D3,50
Dmaj7#11,1,F#3,54
Dmaj7#11,2,A3,57
Dmaj7#11,3,C#3,49
Dmaj7#11,4,G#4,68
Dmaj9,0,D3,50
Dmaj9,1,F#3,54
Dmaj9,2,A3,57
Dmaj9,3,C#4,61
Dmaj9,4,E4,64
Dmaj9#11,0,D3,50
Dmaj9#11,1,F#3,54
Dmaj9#11,2,A3,57
Dmaj9#11,3,C#3,49
Dmaj9#11,4,E4,64
Dmaj9#11,5,G#4,68
Dsus2,0,D3,50
Dsus2,1,E3,52
Dsus2,2,A3,57
Dsus4,0,D3,50
Dsus4,1,G3,55
Dsus4,2,A3,57
E,0,E3,52
E,1,G#3,56
E,2,B3,59
E/B,0,B2,47
E/B,1,E3,52
E/B,2,G#3,56
E/G#,0,G#3,56
E/G#,1,B3,59
E/G#,2,E4,64
E11,0,E3,52
E11,1,G#3,56
E11,2,B3,59
E11,3,D4,62
E11,4,F#4,66
E11,5,A4,69
E13,0,E3,52
E13,1,G#3,56
E13,2,B3,59
E13,3,D4,62
E13,4,F#4,66
E13,5,A4,69
E13,6,C#4,61
E13#11,0,E3,52
E13#11,1,G#3,56
E13#11,2,B3,59
E13#11,3,D4,62
E13#11,4,F#4,66
E13#11,5,C4,60
E13#11,6,C#4,61
E13#9,0,E3,52
E13#9,1,G#3,56
E13#9,2,B3,59
E13#9,3,D4,62
E13#9,4,G4,67
E13#9,5,A4,69
E13#9,6,C#4,61
E13b9,0,E3,52
E13b9,1,G#3,56
E13b9,2,B3,59
E13b9,3,D4,62
E13b9,4,F4,65
E13b9,5,A4,69
E13b9,6,C#4,61
E13sus4,0,E3,52
E13sus4,1,A3,57
E13sus4,2,B3,59
E13sus4,3,D4,62
E13sus4,4,F#4,66
E13sus4,5,A4,69
E13sus4,6,C#4,61
E6,0,E3,52
E6,1,G#3,56
E6,2,B3,59
E6,3,C#4,61
E7,0,E3,52
E7,1,G#3,56
E7,2,B3,59
E7,3,D4,62
E7#5#9,0,E3,52
E7#5#9,1,G#3,56
E7#5#9,2,C4,60
E7#5#9,3,D4,62
E7#5#9,4,G4,67
E7alt,0,E3,52
E7alt,1,G#3,56
E7alt,2,A#3,58
E7alt,3,D4,62
E7alt,4,F4,65
E7alt,5,G4,67
E7sus2,0,E3,52
E7sus2,1,F#3,54
E7sus2,2,B3,59
E7sus2,3,D4,62
E7sus4,0,E3,52
E7sus4,1,A3,57
E7sus4,2,B3,59
E7sus4,3,D4,62
E9,0,E3,52
E9,1,G#3,56
E9,2,B3,59
E9,3,D4,62
E9,4,F#4,66
E9#5,0,E3,52
E9#5,1,G#3,56
E9#5,2,C4,60
E9#5,3,D4,62
E9#5,4,F#4,66
E9b5,0,E3,52
E9b5,1,G#3,56
E9b5,2,A#3,58
E9b5,3,D4,62
E9b5,4,F#4,66
EMaj7,0,E3,52
EMaj7,1,G#3,56
EMaj7,2,B3,59
EMaj7,3,D#4,63
Eaug,0,E3,52
Eaug,1,G#3,56
Eaug,2,C4,60
Eaug7,0,E3,52
Eaug7,1,G#3,56
Eaug7,2,C4,60
Eaug7,3,D4,62
Eb,0,Eb3,51
Eb,1,G3,55
Eb,2,Bb3,58
Eb/Bb,0,Bb2,46
Eb/Bb,1,Eb3,51
Eb/Bb,2,G3,55
Eb/G,0,G3,55
Eb/G,1,Bb3,58
Eb/G,2,Eb4,63
Eb11,0,Eb3,51
Eb11,1,G3,55
Eb11,2,Bb3,58
Eb11,3,Db4,61
Eb11,4,F4,65
Eb11,5,Ab4,68
Eb13,0,Eb3,51
Eb13,1,G3,55
Eb13,2,Bb3,58
Eb13,3,Db4,61
Eb13,4,F4,65
Eb13,5,Ab4,68
Eb13,6,C4,60
Eb13#11,0,Eb3,51
Eb13#11,1,G3,55
Eb13#11,2,Bb3,58
Eb13#11,3,Db4,61
Eb13#11,4,F4,65
Eb13#11,5,A4,69
Eb13#11,6,C4,60
Eb13#9,0,Eb3,51
Eb13#9,1,G3,55
Eb13#9,2,Bb3,58
Eb13#9,3,Db4,61
Eb13#9,4,G4,67
Eb13#9,5,Ab4,68
Eb13#9,6,C4,60
Eb13b9,0,Eb3,51
Eb13b9,1,G3,55
Eb13b9,2,Bb3,58
Eb13b9,3,Db4,61
Eb13b9,4,E4,64
Eb13b9,5,Ab4,68
Eb13b9,6,C4,60
Eb13sus4,0,Eb3,51
Eb13sus4,1,Ab3,56
Eb13sus4,2,Bb3,58
Eb13sus4,3,Db4,61
Eb13sus4,4,F4,65
Eb13sus4,5,Ab4,68
Eb13sus4,6,C4,60
Eb6,0,Eb3,51
Eb6,1,G3,55
Eb6,2,Bb3,58
Eb6,3,C4,60
Eb7,0,Eb3,51
Eb7,1,G3,55
Eb7,2,Bb3,58
Eb7,3,Db4,61
Eb7#5#9,0,Eb3,51
Eb7#5#9,1,G3,55
Eb7#5#9,2,B3,59
Eb7#5#9,3,Db4,61
Eb7#5#9,4,G4,67
Eb7alt,0,Eb3,51
Eb7alt,1,G3,55
Eb7alt,2,A3,57
Eb7alt,3,Db4,61
Eb7alt,4,E4,64
Eb7alt,5,F#4,66
Eb7sus2,0,Eb3,51
Eb7sus2,1,F4,65
Eb7sus2,2,Bb3,58
Eb7sus2,3,Db4,61
Eb7sus4,0,Eb3,51
Eb7sus4,1,Ab3,56
Eb7sus4,2,Bb3,58
Eb7sus4,3,Db4,61
Eb9,0,Eb3,51
Eb9,1,G3,55
Eb9,2,Bb3,58
Eb9,3,Db4,61
Eb9,4,F4,65
Eb9#5,0,Eb3,51
Eb9#5,1,G3,55
Eb9#5,2,B3,59
Eb9#5,3,Db4,61
Eb9#5,4,F4,65
Eb9b5,0,Eb3,51
Eb9b5,1,G3,55
Eb9b5,2,A3,57
Eb9b5,3,Db4,61
Eb9b5,4,F4,65
EbMaj7,0,Eb3,51
EbMaj7,1,G3,55
EbMaj7,2,Bb3,58
EbMaj7,3,D4,62
Ebaug,0,Eb3,51
Ebaug,1,G3,55
Ebaug,2,B3,59
Ebaug7,0,Eb3,51
Ebaug7,1,G3,55
Ebaug7,2,B3,59
Ebaug7,3,Db4,61
Ebdim,0,Eb3,51
Ebdim,1,Gb3,54
Ebdim,2,A3,57
Ebdim7,0,Eb3,51
Ebdim7,1,Gb3,54
Ebdim7,2,A3,57
Ebdim7,3,C3,48
Ebm,0,Eb3,51
Ebm,1,Gb3,54
Ebm,2,Bb3,58
Ebm11,0,Eb3,51
Ebm11,1,Gb3,54
Ebm11,2,Bb3,58
Ebm11,3,Db4,61
Ebm11,4,F4,65
Ebm11,5,Ab4,68
Ebm13,0,Eb3,51
Ebm13,1,Gb3,54
Ebm13,2,Bb3,58
Ebm13,3,Db4,61
Ebm13,4,F4,65
Ebm13,5,Ab4,68
Ebm13,6,C4,60
Ebm6,0,Eb3,51
Ebm6,1,Gb3,54
Ebm6,2,Bb3,58
Ebm6,3,C4,60
Ebm7,0,Eb3,51
Ebm7,1,Gb3,54
Ebm7,2,Bb3,58
Ebm7,3,Db4,61
Ebm7b5,0,Eb3,51
Ebm7b5,1,Gb3,54
Ebm7b5,2,A3,57
Ebm7b5,3,Db4,61
Ebm9,0,Eb3,51
Ebm9,1,Gb3,54
Ebm9,2,Bb3,58
Ebm9,3,Db4,61
Ebm9,4,F4,65
EbmMaj7,0,Eb3,51
EbmMaj7,1,Gb3,54
